,Descripcion,Ubicacion,Colonia,Zona,USD/MX,Numero_Total,M2,Numero_m2,Cantidad,Banos/Estacionamiento
0,Cad Plaza 1730 Magnífica Ubicación. Dos Niveles,"Blvrd. de las Naciones 1730, la Poza",La poza / Blvrd de las Naciones,Diamante,MN,24000000,m²,1500,,
1,Cad Torre Latina. Oficina Piso 6. Vistas Al Campo de Golf y Al Mar,CAD Torre Latina. Oficina Piso 6. Vistas al Campo de Golf y al mar,Av Costera Miguel Aleman ,Dorada,USD,355215,m²,236,5,estac.
2,Cad Torre Latina. Oficina Piso 7. Vista Al Campo de Golf y a La Bahía,Av. Costera Miguel Alemán 2611,Av Costera Miguel Aleman / Del Parque,Dorada,USD,355215,m²,237,5,estac.
3,Cad Torre Latina. Oficina Piso 9. Vista Al Mar. 5 Estacionamientos,CAD Torre Latina. Oficina Piso 9. Vista al Mar. 5 Estacionamientos,Av Costera Miguel Aleman ,Dorada,USD,355215,m²,237,5,estac.
4,Oficina en Venta,Oficina en Venta,Desconocido,Desconocido,MN,1290000,,,,
5,"Oficinas en Venta Desde $749,961.83 en Acapulco",Av Costera Miguel Alemán,Av Costera Miguel Alemán,Dorada,MN,5881852,,,,
6,Oficina en Preventa en Costa Azul,Comandante Baresford,Comandante Baresford,Dorada,MN,1690000,m²,118,2,baños
7,"Oficina en El Centro en Venta, Excelente Ubicacion",AQUILES SERDAN,Aquiles Serdán / C.Nicolas Bravo,Tradicional,MN,650000,m²,32,1,baño
8,Casa - Oficina en Costa Azul Ideal Para Corporativo en Acapulco,COSTA AZUL,C. Piloto Antón de Alaminos,Tradicional,MN,3800000,m²,95,4,baños
9,"Cad Torre Latina - Oficina piso 6. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamientoLas áreas privativas son: Superficie de oficina 236. 81 m² Superficie de áreas comunes 16. 50 m²Superficie total 253. 31 m²Precio de venta $355, 215 usd (Este importe considera todo el piso) Costo por metro cuadrado $1, 500 usdcuota mensual de mantenimiento $11, 328Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2, 956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevadorCasas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños!",CAD Torre Latina. Oficina Piso 6. Vistas al Campo de Golf y al mar,Av Costera Miguel Aleman ,Dorada,USD,355215,m²,236,5,estac.
10,"Cad Plaza 1730. Dos niveles, inmejorable ubicaciónSuperficie de terreno 1, 500 m²Superficie de construcción 1, 500 m²50 metros de fondo con 30 metros de frente sobre Blvrd. De las NacionesPrecio de venta $24, 000, 000 Costo por m² $16, 000Plaza 1730, está ubicada sobre el Boulevard de Las Naciones, la avenida que va desde el Aeropuerto internacional de Acapulco y hasta la carretera escénica, se encuentra a un paso de La Isla Shopping Village y está rodeada de fraccionamientos y condominios de vivienda media y residencial. Sin duda Acapulco Diamante es la zona de mayor crecimiento y plusvalía de todo el Estado de Guerrero y Plaza 1730, está ubicada en el corazón de esta importante zona de desarrollo. Plaza 1730, es una plaza abierta y muy lucidora de dos niveles, con tres grandes módulos, con la posibilidad de adecuar los espacios tanto para plaza comercial, oficina, corporativo, tiendas, etc. Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños!","Blvrd. de las Naciones 1730, la Poza",La poza / Blvrd de las Naciones,Diamante,MN,24000000,m²,1500,,
11,"Cad Torre Latina - Oficina piso 7. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamientoSuperficie de oficina 237. 12 m² Superficie de áreas comunes 16. 50 m²Superficie total 253. 62 m²Precio de Venta $355, 215 usd (Este importe considera todo el piso) Costo por metro cuadrado $1, 500 usdcuota mensual de mantenimiento $11, 328Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2, 956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevadorCasas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños!",Av. Costera Miguel Alemán 2611,Av Costera Miguel Aleman / Del Parque,Dorada,USD,355215,m²,237,5,estac.
